report_date,country,region,tier,rank,game,provider,source_report
2026-03-06,Argentina,LATAM,Tier 2,1,Gates of Olympus 1000,Pragmatic Play,Tier2_Top15_06_03_Blask_iGamingNews.pdf
2026-03-06,Argentina,LATAM,Tier 2,2,Sugar Rush 1000,Pragmatic Play,Tier2_Top15_06_03_Blask_iGamingNews.pdf
2026-03-06,Argentina,LATAM,Tier 2,3,Sugar Rush,Pragmatic Play,Tier2_Top15_06_03_Blask_iGamingNews.pdf
2026-03-06,Argentina,LATAM,Tier 2,4,Gates of Olympus,Pragmatic Play,Tier2_Top15_06_03_Blask_iGamingNews.pdf
2026-03-06,Argentina,LATAM,Tier 2,5,Sweet Bonanza 1000,Pragmatic Play,Tier2_Top15_06_03_Blask_iGamingNews.pdf
2026-03-06,Argentina,LATAM,Tier 2,6,Gates of Olympus Super Scatter,Pragmatic Play,Tier2_Top15_06_03_Blask_iGamingNews.pdf
2026-03-06,Argentina,LATAM,Tier 2,7,Sweet Bonanza,Pragmatic Play,Tier2_Top15_06_03_Blask_iGamingNews.pdf
2026-03-06,Argentina,LATAM,Tier 2,8,European Roulette,Evoplay,Tier2_Top15_06_03_Blask_iGamingNews.pdf
2026-03-06,Argentina,LATAM,Tier 2,9,Zeus vs Hades Gods of War,Pragmatic Play,Tier2_Top15_06_03_Blask_iGamingNews.pdf
2026-03-06,Argentina,LATAM,Tier 2,10,Big Bass Splash,Reel Kingdom,Tier2_Top15_06_03_Blask_iGamingNews.pdf
2026-03-06,Argentina,LATAM,Tier 2,11,The Dog House Megaways,Pragmatic Play,Tier2_Top15_06_03_Blask_iGamingNews.pdf
2026-03-06,Argentina,LATAM,Tier 2,12,American Roulette,KA Gaming,Tier2_Top15_06_03_Blask_iGamingNews.pdf
2026-03-06,Argentina,LATAM,Tier 2,13,Bigger Bass Bonanza,Pragmatic Play,Tier2_Top15_06_03_Blask_iGamingNews.pdf
2026-03-06,Argentina,LATAM,Tier 2,14,Blackjack,Galaxsys,Tier2_Top15_06_03_Blask_iGamingNews.pdf
2026-03-06,Argentina,LATAM,Tier 2,15,Buffalo King Megaways,Pragmatic Play,Tier2_Top15_06_03_Blask_iGamingNews.pdf
2026-05-08,Argentina,LATAM,Tier 2,1,Mines,Various provider,Tier2_Top15_08_05_Blask_iGamingNews.pdf
2026-05-08,Argentina,LATAM,Tier 2,2,Sugar Rush 1000,Pragmatic Play,Tier2_Top15_08_05_Blask_iGamingNews.pdf
2026-05-08,Argentina,LATAM,Tier 2,3,Sugar Rush,Pragmatic Play,Tier2_Top15_08_05_Blask_iGamingNews.pdf
2026-05-08,Argentina,LATAM,Tier 2,4,Sweet Bonanza 1000,Pragmatic Play,Tier2_Top15_08_05_Blask_iGamingNews.pdf
2026-05-08,Argentina,LATAM,Tier 2,5,Joker's Jewels,Pragmatic Play,Tier2_Top15_08_05_Blask_iGamingNews.pdf
2026-05-08,Argentina,LATAM,Tier 2,6,Sweet Bonanza,Pragmatic Play,Tier2_Top15_08_05_Blask_iGamingNews.pdf
