report_date,country,region,tier,rank,brand,aps,ceb_usd,market_share_pct,source_report
2026-03-06,Argentina,LATAM,Tier 2,1,Betsson,928630,108830000,16.25,Tier2_Top15_06_03_Blask_iGamingNews.pdf
2026-03-06,Argentina,LATAM,Tier 2,2,Bet365,869550,106890000,15.22,Tier2_Top15_06_03_Blask_iGamingNews.pdf
2026-03-06,Argentina,LATAM,Tier 2,3,Betano,826220,78170000,14.97,Tier2_Top15_06_03_Blask_iGamingNews.pdf
2026-03-06,Argentina,LATAM,Tier 2,4,BetWarrior,544800,71460000,9.16,Tier2_Top15_06_03_Blask_iGamingNews.pdf
2026-03-06,Argentina,LATAM,Tier 2,5,Bplay,373920,46630000,6.25,Tier2_Top15_06_03_Blask_iGamingNews.pdf
2026-03-06,Argentina,LATAM,Tier 2,6,Stake,266490,137730000,4.39,Tier2_Top15_06_03_Blask_iGamingNews.pdf
2026-03-06,Argentina,LATAM,Tier 2,7,Casino Magic Online,220260,28730000,3.52,Tier2_Top15_06_03_Blask_iGamingNews.pdf
2026-03-06,Argentina,LATAM,Tier 2,8,City Center Online,185930,24740000,2.87,Tier2_Top15_06_03_Blask_iGamingNews.pdf
2026-03-06,Argentina,LATAM,Tier 2,9,1xBet,180050,104540000,2.8,Tier2_Top15_06_03_Blask_iGamingNews.pdf
2026-03-06,Argentina,LATAM,Tier 2,10,1Bet,160840,80270000,2.54,Tier2_Top15_06_03_Blask_iGamingNews.pdf
2026-03-06,Argentina,LATAM,Tier 2,11,Casino Club Online,152990,18990000,2.35,Tier2_Top15_06_03_Blask_iGamingNews.pdf
2026-03-06,Argentina,LATAM,Tier 2,12,JugaBet,140930,58030000,2.27,Tier2_Top15_06_03_Blask_iGamingNews.pdf
2026-03-06,Argentina,LATAM,Tier 2,13,1win,146070,82710000,2.19,Tier2_Top15_06_03_Blask_iGamingNews.pdf
2026-03-06,Argentina,LATAM,Tier 2,14,Pálpitos,145550,89300000,2.18,Tier2_Top15_06_03_Blask_iGamingNews.pdf
2026-03-06,Argentina,LATAM,Tier 2,15,GuazuBet,99730,13730000,1.37,Tier2_Top15_06_03_Blask_iGamingNews.pdf
2026-05-08,Argentina,LATAM,Tier 2,1,Betano,1040000,98590000,17.8,Tier2_Top15_08_05_Blask_iGamingNews.pdf
2026-05-08,Argentina,LATAM,Tier 2,2,Betsson,979080,115310000,16.14,Tier2_Top15_08_05_Blask_iGamingNews.pdf
2026-05-08,Argentina,LATAM,Tier 2,3,Bet365,911940,111970000,15.03,Tier2_Top15_08_05_Blask_iGamingNews.pdf
2026-05-08,Argentina,LATAM,Tier 2,4,BetWarrior,542860,71760000,8.63,Tier2_Top15_08_05_Blask_iGamingNews.pdf
2026-05-08,Argentina,LATAM,Tier 2,5,Bplay,384490,48170000,6.08,Tier2_Top15_08_05_Blask_iGamingNews.pdf
2026-05-08,Argentina,LATAM,Tier 2,6,Stake,268310,144830000,4.13,Tier2_Top15_08_05_Blask_iGamingNews.pdf
