check_date,report_date,tier,result,operators_added,games_added
2026-08-29,2026-02-27,Tier 2,initial_import,15,15
2026-08-29,2026-02-27,Tier 3,initial_import,60,60
2026-08-29,2026-03-06,Tier 2,initial_import,15,15
2026-08-29,2026-03-07,Tier 3,initial_import,45,15
2026-08-29,2026-03-07,Tier 3,initial_import,60,60
2026-08-29,2026-03-27,Tier 2,initial_import,15,15
2026-08-29,2026-03-27,Tier 3,initial_import,60,60
2026-08-29,2026-03-27,Tier 3,initial_import,45,15
2026-08-29,2026-04-17,Tier 2,initial_import,15,15
2026-08-29,2026-04-17,Tier 3,initial_import,60,60
2026-08-29,2026-04-17,Tier 3,initial_import,45,15
2026-08-29,2026-05-08,Tier 2,initial_import,15,15
2026-08-29,2026-05-08,Tier 3,initial_import,60,60
2026-08-29,2026-05-08,Tier 3,initial_import,45,15
2026-08-29,2026-05-29,Tier 2,initial_import,15,15
2026-08-29,2026-05-29,Tier 3,initial_import,60,60
2026-08-29,2026-05-29,Tier 3,initial_import,45,15
2026-08-29,2026-06-26,Tier 2,initial_import,15,15
2026-08-29,2026-06-26,Tier 3,initial_import,60,60
2026-08-29,2026-06-26,Tier 3,initial_import,45,15
2026-08-29,2026-07-24,Tier 2,initial_import,15,15
2026-08-29,2026-07-24,Tier 3,initial_import,105,75
2026-08-29,2026-08-28,Tier 2,initial_import,15,15
2026-08-29,2026-08-28,Tier 3,initial_import,105,90
