source_report,report_date,group,target_operator_rows,target_game_rows,included_in_dashboard_dataset
CIS_Top15_24_07_Blask_iGamingNews.pdf,2026-07-24,CIS,0,0,false
Tier2_Top15_06_03_Blask_iGamingNews.pdf,2026-03-06,Tier 2,15,15,true
Tier2_Top15_08_05_Blask_iGamingNews.pdf,2026-05-08,Tier 2,15,15,true
Tier2_Top15_17_04_Blask_iGamingNews.pdf,2026-04-17,Tier 2,15,15,true
Tier2_Top15_24_07_Blask_iGamingNews.pdf,2026-07-24,Tier 2,15,15,true
Tier2_Top15_26_06_Blask_iGamingNews.pdf,2026-06-26,Tier 2,15,15,true
Tier2_Top15_27_02_Blask_iGamingNews.pdf,2026-02-27,Tier 2,15,15,true
Tier2_Top15_27_03_Blask_iGamingNews.pdf,2026-03-27,Tier 2,15,15,true
Tier2_Top15_28_08_Blask_iGamingNews.pdf,2026-08-28,Tier 2,15,15,true
Tier2_Top15_29_05_Blask_iGamingNews.pdf,2026-05-29,Tier 2,15,15,true
Tier3_Top15_07_03(2)_Blask_iGamingNews.pdf,2026-03-07,Tier 3,45,15,true
Tier3_Top15_07_03_Blask_iGamingNews.pdf,2026-03-07,Tier 3,60,60,true
Tier3_Top15_08_05(P1)_Blask_iGamingNews.pdf,2026-05-08,Tier 3,60,60,true
Tier3_Top15_08_05(P2)_Blask_iGamingNews.pdf,2026-05-08,Tier 3,45,15,true
Tier3_Top15_17_04(P1)_Blask_iGamingNews.pdf,2026-04-17,Tier 3,60,60,true
Tier3_Top15_17_04(P2)__Blask_iGamingNews.pdf,2026-04-17,Tier 3,45,15,true
Tier3_Top15_24_07_Blask_iGamingNews.pdf,2026-07-24,Tier 3,105,75,true
Tier3_Top15_26_06(P1)_Blask_iGamingNews.pdf,2026-06-26,Tier 3,60,60,true
Tier3_Top15_26_06(P2)_Blask_iGamingNews.pdf,2026-06-26,Tier 3,45,15,true
Tier3_Top15_27_02_Blask_iGamingNews.pdf,2026-02-27,Tier 3,60,60,true
Tier3_Top15_27_03(P1)_Blask_iGamingNews.pdf,2026-03-27,Tier 3,60,60,true
Tier3_Top15_27_03(P2)_Blask_iGamingNews.pdf,2026-03-27,Tier 3,45,15,true
Tier3_Top15_28_08_Blask_iGamingNews.pdf,2026-08-28,Tier 3,105,90,true
Tier3_Top15_29_05(P1)_Blask_iGamingNews.pdf,2026-05-29,Tier 3,60,60,true
Tier3_Top15_29_05(P2)_Blask_iGamingNews.pdf,2026-05-29,Tier 3,45,15,true
